NO,Lon,Lat,lat,Alt,alt,Eco,month,flux,MMT,SWC,MT,ZZ
1,105.47,31.27,3,,NAA,Grassland,1,367.4306186,5.329993777,0.078577677,5,NGS
2,105.47,31.27,3,,NAA,Grassland,3,855.4536112,12.65999362,0.079928386,5,NGS
3,105.47,31.27,3,,NAA,Grassland,12,525.6479729,7.859993721,0.077049266,5,NGS
4,105.47,31.27,3,,NAA,Grassland,2,437.8626432,6.689993747,0.081543757,5,NGS
5,105.47,31.27,3,,NAA,Grassland,11,630.2812435,12.18999362,0.083229668,5,NGS
6,105.47,31.27,3,,NAA,Grassland,10,1060.991928,15.83999354,0.110243194,5,NGS
7,105.47,31.27,3,,NAA,Grassland,9,1610.113962,22.1699934,0.155459136,5,GS
8,105.47,31.27,3,,NAA,Grassland,5,1939.424341,21.37999342,0.104482824,5,GS
9,105.47,31.27,3,,NAA,Grassland,8,2133.088828,26.7699933,0.117246716,5,GS
10,105.47,31.27,3,,NAA,Grassland,6,1988.286506,23.32999338,0.195787519,5,GS
11,105.47,31.27,3,,NAA,Grassland,7,2333.719905,27.38999328,0.148532881,5,GS
12,105.47,31.27,3,,NAA,Grassland,4,1956.407433,19.53999346,0.092838369,5,NGS
13,102.6,29.24,2,1145,2,Forest,1,367.8440403,0.254993891,0.068722982,3,NGS
14,102.6,29.24,2,1145,2,Forest,2,441.4679859,1.569993862,0.068632208,3,NGS
15,102.6,29.24,2,1145,2,Forest,3,513.3789591,5.479993774,0.070304283,3,NGS
16,102.6,29.24,2,1145,2,Forest,12,679.6298131,-1.450006071,0.064590301,3,NGS
17,102.6,29.24,2,1145,2,Forest,4,664.0857187,9.064993694,0.074476656,3,NGS
18,102.6,29.24,2,1145,2,Forest,11,967.4368098,3.799993812,0.080221475,3,NGS
19,102.6,29.24,2,1145,2,Forest,5,987.7983437,11.11999365,0.094301634,3,GS
20,102.6,29.24,2,1145,2,Forest,10,1395.702628,8.099993716,0.078001675,3,NGS
21,102.6,29.24,2,1145,2,Forest,6,1515.739366,13.67499359,0.101258759,3,GS
22,102.6,29.24,2,1145,2,Forest,9,1616.703132,12.38999362,0.10252253,3,GS
23,102.6,29.24,2,1145,2,Forest,8,1668.124472,14.69499357,0.126571995,3,GS
24,102.6,29.24,2,1145,2,Forest,7,1722.970622,16.01999354,0.190381073,3,GS
25,108.76,18.38,1,700-1200,NAA,Forest,2,767.3764626,18.38399348,NA,6,NGS
26,108.76,18.38,1,700-1200,NAA,Forest,3,832.0499237,21.83166008,NA,6,NGS
27,108.76,18.38,1,700-1200,NAA,Forest,1,831.8323254,19.48666013,NA,6,NGS
28,108.76,18.38,1,700-1200,NAA,Forest,7,1124.382258,27.21749329,NA,6,GS
29,108.76,18.38,1,700-1200,NAA,Forest,12,867.2229074,20.62599343,NA,6,NGS
30,108.76,18.38,1,700-1200,NAA,Forest,8,946.2264059,27.04249329,NA,6,GS
31,108.76,18.38,1,700-1200,NAA,Forest,5,1061.98024,27.50249328,NA,6,GS
32,108.76,18.38,1,700-1200,NAA,Forest,6,1104.540264,27.91599327,NA,6,GS
33,108.76,18.38,1,700-1200,NAA,Forest,11,1072.053012,23.53199337,NA,6,NGS
34,108.76,18.38,1,700-1200,NAA,Forest,4,1052.963073,25.24332666,NA,6,NGS
35,108.76,18.38,1,700-1200,NAA,Forest,10,1157.120173,24.95499334,NA,6,NGS
36,108.76,18.38,1,700-1200,NAA,Forest,9,1329.677912,26.5599933,NA,6,GS
37,105.3,27.5,2,260<U+00A1><U+00AB>1008,NAA,Forest,1,598.6169827,3.619993816,0.063066214,4,NGS
38,105.3,27.5,2,260<U+00A1><U+00AB>1010,NAA,Forest,3,598.1420506,6.199993758,0.066021122,4,NGS
39,105.3,27.5,2,260<U+00A1><U+00AB>1009,NAA,Forest,2,651.5160999,3.779993812,0.060408328,4,NGS
40,105.3,27.5,2,260<U+00A1><U+00AB>1007,NAA,Forest,12,640.602121,4.619993793,0.063933842,4,NGS
41,105.3,27.5,2,260<U+00A1><U+00AB>1006,NAA,Forest,11,1073.426152,7.539993728,0.074485458,4,NGS
42,105.3,27.5,2,260<U+00A1><U+00AB>1011,NAA,Forest,4,1103.140633,13.1599936,0.059466992,4,NGS
43,105.3,27.5,2,260<U+00A1><U+00AB>1005,NAA,Forest,10,1411.273213,13.81999359,0.068873696,4,NGS
44,105.3,27.5,2,260<U+00A1><U+00AB>1004,NAA,Forest,9,1799.173582,16.16999354,0.126132727,4,GS
45,105.3,27.5,2,260<U+00A1><U+00AB>1012,NAA,Forest,5,1902.15912,16.13999354,0.063323077,4,GS
46,105.3,27.5,2,260<U+00A1><U+00AB>1015,NAA,Forest,8,2448.724673,20.54999344,0.050335208,4,GS
47,105.3,27.5,2,260<U+00A1><U+00AB>1013,NAA,Forest,6,2122.479392,17.9149935,0.071277831,4,GS
48,105.3,27.5,2,260<U+00A1><U+00AB>1002,NAA,Forest,7,2618.992583,21.07499343,0.047913343,4,GS
49,121.75,50.75,5,839,1,Forest,1,57.67,-28,0.026766954,1,NGS
50,121.75,50.75,5,839,1,Forest,2,76.285,-23.63333333,0.025996856,1,NGS
51,121.75,50.75,5,839,1,Forest,3,131.2783333,-12.46666667,0.034218073,1,NGS
52,121.75,50.75,5,839,1,Forest,4,222.5283333,-0.233333333,0.054114182,1,NGS
53,121.75,50.75,5,839,1,Forest,5,469.025,6.5,0.075383859,1,GS
54,121.75,50.75,5,839,1,Forest,6,1034.045,14.43333333,0.223666615,1,GS
55,121.75,50.75,5,839,1,Forest,7,1383.593333,16.53333333,0.288659903,1,GS
56,121.75,50.75,5,839,1,Forest,8,1156.198333,13.56666667,0.277749866,1,GS
57,121.75,50.75,5,839,1,Forest,9,780.1266667,7.566666667,0.09995954,1,GS
58,121.75,50.75,5,839,1,Forest,10,285.6733333,-1.033333333,0.053881732,1,NGS
59,121.75,50.75,5,839,1,Forest,11,155.3683333,-16.43333333,0.03727223,1,NGS
60,121.75,50.75,5,839,1,Forest,12,86.01833333,-26.7,0.028537933,1,NGS
61,117.25,42.75,4,1372,2,Forest,6,1066.165,15.7,0.108386017,2,GS
62,117.25,42.75,4,1372,2,Forest,7,1684.84,18.4,0.131436756,2,GS
63,117.25,42.75,4,1372,2,Forest,8,1538.475,18.9,0.079487675,2,GS
64,117.25,42.75,4,1372,2,Forest,9,1066.895,11.4,0.085806639,2,GS
65,117.25,42.75,4,1372,2,Forest,10,302.22,6.3,0.077679302,2,NGS
66,117.25,42.75,4,1372,2,Forest,11,75.555,-6,0.047339105,2,NGS
67,117.25,42.75,4,1372,2,Forest,12,91.25,-13.6,0.032982574,2,NGS
68,117.25,42.75,4,1372,2,Forest,1,86.87,-17.1,0.02923377,2,NGS
69,117.25,42.75,4,1372,2,Forest,2,91.25,-8.4,0.046158064,2,NGS
70,117.25,42.75,4,1372,2,Forest,3,112.42,-4.5,0.082089961,2,NGS
71,117.25,42.75,4,1372,2,Forest,4,234.695,4.4,0.067450859,2,NGS
72,117.25,42.75,4,1372,2,Forest,5,425.225,11,0.068784711,2,GS
